Exported with PreSens Datamanager V2.0.0.57
Date;Time;User;SensorID;SensorName;delta_t;Unit;Value;Unit;Mode;Phase;Unit;Amplitude;Unit;Temp;Unit;patm;Unit;Salinity;Unit;Error;Cal0;Unit;T0;Unit;O2-2nd;Unit;Cal2nd;Unit;T2nd;Unit;CalPressure;Unit;f1;dPhi1;dkSv1;dPhi2;dkSv2;m;Cal Mode;SignalLEDCurrent;ReferenceLEDCurrent;ReferenceAmplitude;DeviceSerial;FwVersion;SensorType;BatchID;Calibration Date;Sensor lot;PreSens calibrated Sensor;Battery Voltage;Unit
31-Mar-2017;09:53:26;DAVID         ;69719     ;B_01;0.00;min;1.199;umol/l;humid;60.161;deg;21659;uV;17.147;°C;963.290;mbar;0.0;pmil;0;60.370;deg;20.000;°C;100.000;%a.s.;26.840;deg;20.000;°C;974;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;11;50.000;39433;SAAA0004000111;     p1.2.0.6 ;PSt3;150616-1;150616;120802;0;5.180;V;
31-Mar-2017;09:53:53;DAVID         ;69719     ;B_01;0.45;min;1.178;umol/l;humid;60.168;deg;20383;uV;17.152;°C;963.310;mbar;0.0;pmil;0;60.370;deg;20.000;°C;100.000;%a.s.;26.840;deg;20.000;°C;974;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;11;50.000;39417;SAAA0004000111;     p1.2.0.6 ;PSt3;150616-1;150616;120802;0;5.173;V;
31-Mar-2017;09:54:57;DAVID         ;69719     ;B_01;1.52;min;1.283;umol/l;humid;60.119;deg;20119;uV;17.269;°C;963.340;mbar;0.0;pmil;0;60.370;deg;20.000;°C;100.000;%a.s.;26.840;deg;20.000;°C;974;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;11;50.000;39375;SAAA0004000111;     p1.2.0.6 ;PSt3;150616-1;150616;120802;0;5.154;V;
31-Mar-2017;09:55:24;DAVID         ;69676     ;B_02;1.97;min;0.970;umol/l;humid;60.233;deg;21842;uV;17.266;°C;963.310;mbar;0.0;pmil;0;60.370;deg;20.000;°C;100.000;%a.s.;26.840;deg;20.000;°C;974;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;11;50.000;39345;SAAA0004000111;     p1.2.0.6 ;PSt3;150616-1;150616;120802;0;5.149;V;
31-Mar-2017;09:55:36;DAVID         ;69674     ;B_03;2.17;min;19.782;umol/l;humid;54.166;deg;19190;uV;17.307;°C;963.340;mbar;0.0;pmil;0;60.370;deg;20.000;°C;100.000;%a.s.;26.840;deg;20.000;°C;974;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;11;50.000;39345;SAAA0004000111;     p1.2.0.6 ;PSt3;150616-1;150616;120802;0;5.145;V;
31-Mar-2017;09:56:12;DAVID         ;69721     ;B_06;2.77;min;1.629;umol/l;humid;60.028;deg;27399;uV;16.916;°C;963.160;mbar;0.0;pmil;0;60.370;deg;20.000;°C;100.000;%a.s.;26.840;deg;20.000;°C;974;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;11;50.000;39319;SAAA0004000111;     p1.2.0.6 ;PSt3;150616-1;150616;120802;0;5.142;V;
31-Mar-2017;09:56:39;DAVID         ;69847     ;B_05;3.22;min;1.315;umol/l;humid;60.136;deg;18758;uV;16.965;°C;963.170;mbar;0.0;pmil;0;60.370;deg;20.000;°C;100.000;%a.s.;26.840;deg;20.000;°C;974;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;11;50.000;39286;SAAA0004000111;     p1.2.0.6 ;PSt3;150616-1;150616;120802;0;5.137;V;
31-Mar-2017;09:57:00;DAVID         ;69732     ;B_04;3.57;min;5.749;umol/l;humid;58.589;deg;23725;uV;16.953;°C;963.200;mbar;0.0;pmil;0;60.370;deg;20.000;°C;100.000;%a.s.;26.840;deg;20.000;°C;974;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;11;50.000;39273;SAAA0004000111;     p1.2.0.6 ;PSt3;150616-1;150616;120802;0;5.127;V;
31-Mar-2017;09:57:32;DAVID         ;92684     ;B_09;4.10;min;1.094;umol/l;humid;60.205;deg;25704;uV;16.999;°C;963.340;mbar;0.0;pmil;0;60.357;deg;20.000;°C;100.000;%a.s.;26.920;deg;20.000;°C;980;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;11;50.000;39247;SAAA0004000111;     p1.2.0.6 ;PSt3;151111-1;151111;120802;0;5.124;V;
31-Mar-2017;09:57:48;DAVID         ;92101     ;B_08;4.37;min;1.282;umol/l;humid;60.134;deg;20118;uV;17.045;°C;963.280;mbar;0.0;pmil;0;60.357;deg;20.000;°C;100.000;%a.s.;26.920;deg;20.000;°C;980;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;11;50.000;39225;SAAA0004000111;     p1.2.0.6 ;PSt3;151111-1;151111;120802;0;5.121;V;
31-Mar-2017;09:58:13;DAVID         ;69675     ;B_07;4.78;min;9.846;umol/l;humid;57.214;deg;21538;uV;17.095;°C;963.270;mbar;0.0;pmil;0;60.370;deg;20.000;°C;100.000;%a.s.;26.840;deg;20.000;°C;974;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;11;50.000;39209;SAAA0004000111;     p1.2.0.6 ;PSt3;150616-1;150616;120802;0;5.118;V;
31-Mar-2017;09:59:37;DAVID         ;92698     ;B_12;6.18;min;0.865;umol/l;humid;60.177;deg;23231;uV;18.219;°C;963.160;mbar;0.0;pmil;0;60.357;deg;20.000;°C;100.000;%a.s.;26.920;deg;20.000;°C;980;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;11;50.000;39132;SAAA0004000111;     p1.2.0.6 ;PSt3;151111-1;151111;120802;0;5.122;V;
31-Mar-2017;09:59:55;DAVID         ;92675     ;B_11;6.48;min;1.177;umol/l;humid;60.056;deg;17948;uV;18.280;°C;963.170;mbar;0.0;pmil;0;60.357;deg;20.000;°C;100.000;%a.s.;26.920;deg;20.000;°C;980;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;11;50.000;39114;SAAA0004000111;     p1.2.0.6 ;PSt3;151111-1;151111;120802;0;5.121;V;
31-Mar-2017;10:00:10;DAVID         ;92679     ;B_10;6.73;min;1.279;umol/l;humid;60.017;deg;24796;uV;18.294;°C;963.110;mbar;0.0;pmil;0;60.357;deg;20.000;°C;100.000;%a.s.;26.920;deg;20.000;°C;980;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;11;50.000;39106;SAAA0004000111;     p1.2.0.6 ;PSt3;151111-1;151111;120802;0;5.119;V;
31-Mar-2017;10:00:32;DAVID         ;92693     ;B_15;7.10;min;0.769;umol/l;humid;60.237;deg;26270;uV;17.946;°C;963.310;mbar;0.0;pmil;0;60.357;deg;20.000;°C;100.000;%a.s.;26.920;deg;20.000;°C;980;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;11;50.000;39082;SAAA0004000111;     p1.2.0.6 ;PSt3;151111-1;151111;120802;0;5.115;V;
31-Mar-2017;10:00:47;DAVID         ;92099     ;B_14;7.35;min;0.945;umol/l;humid;60.168;deg;22572;uV;17.991;°C;963.240;mbar;0.0;pmil;0;60.357;deg;20.000;°C;100.000;%a.s.;26.920;deg;20.000;°C;980;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;11;50.000;39068;SAAA0004000111;     p1.2.0.6 ;PSt3;151111-1;151111;120802;0;5.113;V;
31-Mar-2017;10:00:57;DAVID         ;92695     ;B_13;7.52;min;16.256;umol/l;humid;55.088;deg;28035;uV;18.007;°C;963.330;mbar;0.0;pmil;0;60.357;deg;20.000;°C;100.000;%a.s.;26.920;deg;20.000;°C;980;mbar;0.8080;-0.08030;0.000433;0.00000;0.000000;29.87;humid;11;50.000;39067;SAAA0004000111;     p1.2.0.6 ;PSt3;151111-1;151111;120802;0;5.111;V;
